Nombres,links
Atlasaurus,https://prehistoria.fandom.com/es/wiki/Atlasaurus
Atlascopcosaurus,https://prehistoria.fandom.com/es/wiki/Atlascopcosaurus
Atrociraptor,https://prehistoria.fandom.com/es/wiki/Atrociraptor
Atsinganosaurus,https://prehistoria.fandom.com/es/wiki/Atsinganosaurus
Aublysodon,https://prehistoria.fandom.com/es/wiki/Aublysodon
Aucasaurus,https://prehistoria.fandom.com/es/wiki/Aucasaurus
Augustynolophus,https://prehistoria.fandom.com/es/wiki/Augustynolophus
Auroraceratops,https://prehistoria.fandom.com/es/wiki/Auroraceratops
Aurornis,https://prehistoria.fandom.com/es/wiki/Aurornis
Australovenator,https://prehistoria.fandom.com/es/wiki/Australovenator
Austrocheirus,https://prehistoria.fandom.com/es/wiki/Austrocheirus
Austroposeidon,https://prehistoria.fandom.com/es/wiki/Austroposeidon
Austroraptor,https://prehistoria.fandom.com/es/wiki/Austroraptor
Austrosaurus,https://prehistoria.fandom.com/es/wiki/Austrosaurus
Avaceratops,https://prehistoria.fandom.com/es/wiki/Avaceratops
Aves,https://prehistoria.fandom.com/es/wiki/Aves
Aviatyrannis,https://prehistoria.fandom.com/es/wiki/Aviatyrannis
Avimimus,https://prehistoria.fandom.com/es/wiki/Avimimus
Avipes,https://prehistoria.fandom.com/es/wiki/Avipes
Bactrosaurus,https://prehistoria.fandom.com/es/wiki/Bactrosaurus
Bagaceratops,https://prehistoria.fandom.com/es/wiki/Bagaceratops
Bagaraatan,https://prehistoria.fandom.com/es/wiki/Bagaraatan
Bagualia,https://prehistoria.fandom.com/es/wiki/Bagualia
Bahariasaurus,https://prehistoria.fandom.com/es/wiki/Bahariasaurus
Bajadasaurus,https://prehistoria.fandom.com/es/wiki/Bajadasaurus
Balaur,https://prehistoria.fandom.com/es/wiki/Balaur
Balochisaurus,https://prehistoria.fandom.com/es/wiki/Balochisaurus
Bambiraptor,https://prehistoria.fandom.com/es/wiki/Bambiraptor
Banji,https://prehistoria.fandom.com/es/wiki/Banji
Barapasaurus,https://prehistoria.fandom.com/es/wiki/Barapasaurus
Barosaurus,https://prehistoria.fandom.com/es/wiki/Barosaurus
Barrosasaurus,https://prehistoria.fandom.com/es/wiki/Barrosasaurus
Barsboldia,https://prehistoria.fandom.com/es/wiki/Barsboldia
Baryonychinae,https://prehistoria.fandom.com/es/wiki/Baryonychinae
Baryonyx,https://prehistoria.fandom.com/es/wiki/Baryonyx
Baurutitan,https://prehistoria.fandom.com/es/wiki/Baurutitan
Bayosaurus,https://prehistoria.fandom.com/es/wiki/Bayosaurus
Becklespinax,https://prehistoria.fandom.com/es/wiki/Becklespinax
Beg tse,https://prehistoria.fandom.com/es/wiki/Beg_tse
Beipiaosaurus,https://prehistoria.fandom.com/es/wiki/Beipiaosaurus
Beishanlong,https://prehistoria.fandom.com/es/wiki/Beishanlong
Berberosaurus,https://prehistoria.fandom.com/es/wiki/Berberosaurus
Berthasaura,https://prehistoria.fandom.com/es/wiki/Berthasaura
Betasuchus,https://prehistoria.fandom.com/es/wiki/Betasuchus
Bicentenaria,https://prehistoria.fandom.com/es/wiki/Bicentenaria
Bienosaurus,https://prehistoria.fandom.com/es/wiki/Bienosaurus
Bistahieversor,https://prehistoria.fandom.com/es/wiki/Bistahieversor
Blasisaurus,https://prehistoria.fandom.com/es/wiki/Blasisaurus
Blikanasaurus,https://prehistoria.fandom.com/es/wiki/Blikanasaurus
Usuario Blog:Blog de Jason/Documental Walking with Dinosaurs,https://prehistoria.fandom.com/es/wiki/Usuario_Blog:Blog_de_Jason/Documental_Walking_with_Dinosaurs
Usuario Blog:Blog de Jason/Ouranosaurus,https://prehistoria.fandom.com/es/wiki/Usuario_Blog:Blog_de_Jason/Ouranosaurus
Bonapartenykus ultimus,https://prehistoria.fandom.com/es/wiki/Bonapartenykus_ultimus
Bonapartesaurus,https://prehistoria.fandom.com/es/wiki/Bonapartesaurus
Bonatitan,https://prehistoria.fandom.com/es/wiki/Bonatitan
Bonitasaura,https://prehistoria.fandom.com/es/wiki/Bonitasaura
Borealosaurus,https://prehistoria.fandom.com/es/wiki/Borealosaurus
Borogovia,https://prehistoria.fandom.com/es/wiki/Borogovia
Bothriospondylus,https://prehistoria.fandom.com/es/wiki/Bothriospondylus
Brachiosauridae,https://prehistoria.fandom.com/es/wiki/Brachiosauridae
Brachiosaurus,https://prehistoria.fandom.com/es/wiki/Brachiosaurus
Brachyceratops,https://prehistoria.fandom.com/es/wiki/Brachyceratops
Brachylophosaurus,https://prehistoria.fandom.com/es/wiki/Brachylophosaurus
Brachytrachelopan,https://prehistoria.fandom.com/es/wiki/Brachytrachelopan
Bradycneme,https://prehistoria.fandom.com/es/wiki/Bradycneme
Bravasaurus,https://prehistoria.fandom.com/es/wiki/Bravasaurus
Breviparopus,https://prehistoria.fandom.com/es/wiki/Breviparopus
Brighstoneous,https://prehistoria.fandom.com/es/wiki/Brighstoneous
Brohisaurus,https://prehistoria.fandom.com/es/wiki/Brohisaurus
Brontomerus,https://prehistoria.fandom.com/es/wiki/Brontomerus
Brontosaurus,https://prehistoria.fandom.com/es/wiki/Brontosaurus
Bruhathkayosaurus,https://prehistoria.fandom.com/es/wiki/Bruhathkayosaurus
Buitreraptor,https://prehistoria.fandom.com/es/wiki/Buitreraptor
Buriolestes,https://prehistoria.fandom.com/es/wiki/Buriolestes
Byronosaurus jaffei,https://prehistoria.fandom.com/es/wiki/Byronosaurus_jaffei
Caenagnathasia,https://prehistoria.fandom.com/es/wiki/Caenagnathasia
Caenagnathus,https://prehistoria.fandom.com/es/wiki/Caenagnathus
Caihong juji,https://prehistoria.fandom.com/es/wiki/Caihong_juji
Aardonyx,https://prehistoria.fandom.com/es/wiki/Aardonyx
